NAME,YEAR,TEAM,ERA,GAME,W,L,IP
브리검,2017,넥센,4.38,24,10,6,144.0 
브리검,2018,넥센,3.84,31,11,7,199.0 
브리검,2019,키움,2.96,28,13,5,158.1 
밴헤켄,2012,넥센,3.28,28,11,8,170.0 
밴헤켄,2013,넥센,3.73,29,12,10,161.2 
밴헤켄,2014,넥센,3.51,31,20,6,187.0 
밴헤켄,2015,넥센,3.62,32,15,8,196.2 
밴헤켄,2016,넥센,3.38,12,7,3,72.0 
밴헤켄,2017,넥센,3.77,24,8,7,138.1 
로저스,2018,넥센,3.8,13,5,4,83.0 
해커,2017,NC,3.42,26,12,7,160.1 
해커,2018,넥센,5.2,14,5,3,79.2 
요키시,2019,키움,3.13,30,13,9,181.1 
보우덴,2016,두산,3.8,30,18,7,180.0 
보우덴,2017,두산,4.64,17,3,5,87.1 
니퍼트,2011,두산,2.55,29,15,6,187.0 
니퍼트,2012,두산,3.2,29,11,10,194.0 
니퍼트,2013,두산,3.58,19,12,4,118.0 
니퍼트,2014,두산,3.81,30,14,7,179.1 
니퍼트,2015,두산,5.1,20,6,5,90.0 
니퍼트,2016,두산,2.95,28,22,3,167.2 
니퍼트,2017,두산,4.06,30,14,8,179.2 
니퍼트,2018,KT,4.25,29,8,8,175.2 
에디튼,2017,롯데,5.91,15,2,7,70.0 
린드블럼,2015,롯데,3.56,32,13,11,210.0 
린드블럼,2016,롯데,5.28,30,10,13,177.1 
린드블럼,2017,롯데,3.72,12,5,3,72.2 
린드블럼,2018,두산,2.88,26,15,4,168.2 
린드블럼,2019,두산,2.5,30,20,3,194.2 
레일리,2015,롯데,3.91,31,11,9,179.1 
레일리,2016,롯데,4.34,31,8,10,184.2 
레일리,2017,롯데,3.8,30,13,7,187.1 
레일리,2018,롯데,4.74,30,11,13,178.1 
레일리,2019,롯데,3.88,30,5,14,181.0 
레나도,2017,삼성,6.8,11,2,3,49.0 
페트릭,2017,삼성,6.18,25,3,10,134.0 
오간도,2017,한화,3.93,19,10,5,110.0 
비야누에바,2017,한화,4.18,20,5,7,112.0 
팻딘,2017,KIA,4.14,30,9,7,176.0 
팻딘,2018,KIA,6.26,36,6,7,129.1 
헥터,2016,KIA,3.4,31,15,5,206.2 
헥터,2017,KIA,3.48,30,20,5,201.2 
헥터,2018,KIA,4.6,29,11,10,174.0 
로치,2017,KT,4.69,28,4,15,165.0 
피어밴드,2015,넥센,4.67,30,13,11,177.1 
피어밴드,2016,KT,4.45,31,7,13,182.0 
피어밴드,2017,KT,3.04,26,8,10,160.0 
피어밴드,2018,KT,4.3,27,8,8,163.1 
허프,2016,LG,3.13,13,7,2,74.2 
허프,2017,LG,2.38,19,6,4,124.2 
소사,2012,KIA,3.54,23,9,8,147.1 
소사,2013,KIA,5.47,29,9,9,164.2 
소사,2014,넥센,4.61,20,10,2,125.0 
소사,2015,LG,4.03,32,10,12,194.1 
소사,2016,LG,5.16,33,10,9,199.0 
소사,2017,LG,3.88,30,11,11,185.1 
소사,2018,LG,3.52,27,9,9,181.1 
소사,2019,SK,3.82,16,9,3,94.1 
맨쉽,2017,NC,3.67,21,12,4,112.2 
켈리,2015,SK,4.13,30,11,10,181.0 
켈리,2016,SK,3.68,31,9,8,200.1 
켈리,2017,SK,3.6,30,16,7,190.0 
켈리,2018,SK,4.09,28,12,7,158.1 
다이아몬드,2017,SK,4.42,24,10,7,134.1 
후랭코프,2018,두산,3.74,28,18,3,149.1 
후랭코프,2019,두산,3.61,22,9,8,117.1 
듀브론트,2018,롯데,4.92,25,6,9,137.1 
아델만,2018,삼성,5.05,31,8,12,171.0 
보니야,2018,삼성,5.3,29,7,10,168.0 
샘슨,2018,한화,4.68,30,13,8,161.2 
휠러,2018,한화,5.13,19,3,9,101.2 
헤일,2018,한화,4.34,12,3,4,66.1 
윌슨,2018,LG,3.07,26,9,4,170.0 
윌슨,2019,LG,2.92,30,14,7,185.0 
베렛,2018,NC,5.28,29,6,10,155.0 
왕웨이중,2018,NC,4.26,25,7,10,141.2 
산체스,2018,SK,4.89,29,8,8,145.1 
산체스,2019,SK,2.62,28,17,5,165.0 
요키시,2019,키움,3.13,30,13,9,181.1 
톰슨,2019,롯데,4.74,11,2,3,62.2 
다익손,2019,롯데,4.34,29,6,10,149.1 
헤일리,2019,삼성,5.75,19,5,8,87.2 
맥과이어,2019,삼성,5.05,21,4,8,112.1 
라이블리,2019,삼성,3.95,9,4,4,57.0 
서폴드,2019,한화,3.51,31,12,11,192.1 
채드벨,2019,한화,3.5,29,11,10,177.1 
터너,2019,KIA,5.46,28,7,13,153.1 
윌랜드,2019,KIA,4.75,28,8,10,165.0 
알칸타라,2019,KT,4.01,27,11,11,172.2 
쿠에바스,2019,KT,3.62,30,13,10,184.0 
켈리,2019,LG,2.55,29,14,12,180.1 
루친스키,2019,NC,3.05,30,9,9,177.1 
버틀러,2019,NC,4.76,13,3,6,73.2 
프리드릭,2019,NC,2.75,12,7,4,72.0 
앤디고든,2017,드림즈,3.54,24,14,5,137.0 
앤디고든,2018,드림즈,2.84,19,9,6,114.0 
앤디고든,2019,드림즈,3.27,27,13,8,170.0 
